Date,cmp_score,energy_score,temperature_score
2019-01-05,0,1,1
2019-01-12,0,1,1
2019-01-19,0,1,1
2019-01-26,0,1,1
2019-02-02,0,1,1
2019-02-09,0,1,1
2019-02-16,0,1,1
2019-02-23,0,1,1
2019-03-02,0,1,1
2019-03-09,0,1,1
2019-03-16,0,1,1
2019-03-23,0,1,1
2019-03-30,0,1,1
2019-04-06,0,1,1
2019-04-13,0,1,1
2019-05-11,0,1,1
2019-05-25,0,1,1
2019-06-01,0,1,1
2019-06-08,0,1,1
2019-06-15,0,2,1
2019-06-22,0,1,1
2019-06-24,4,3,1
2019-06-29,0,2,1
2019-07-06,4,4,2
2019-07-13,4,2,1
2019-07-20,3,2,1
2019-07-27,3,2,1
2019-08-03,1,1,1
2019-08-10,1,1,1
2019-08-24,0,1,1
2019-08-31,1,2,1
2019-09-07,0,1,1
2019-09-14,0,2,1
2019-09-21,0,1,1
2019-09-28,0,1,1
2019-10-05,0,1,1
2019-10-12,0,1,1
2019-10-19,0,1,1
2019-10-26,0,1,1
2019-11-02,0,1,1
2019-11-09,0,1,1
2019-11-16,0,1,1
2019-11-23,0,1,1
2019-11-30,0,1,1
2019-12-07,0,1,1
2019-12-14,0,1,1
2019-12-21,0,1,1
